address,cityName,cityCode,lat,lng,provinceName,provinceCode,storeCode,storeName,serviceMobile,storeTypeName,mobile
四川省成都市金牛区被三环路一段111号14栋1层101/102/103,成都市,510100,30.711411,104.022692,四川,510000,C951AAS01,小鹏汽车成都天府艺术公园体验中心,,体验中心,028-87500673
成都市金牛区一环路北三段1号1栋【1F】层【综合楼C-1F-D-B】号,成都市,510100,30.69,104.08,四川,510000,C951AAS03,小鹏汽车成都金牛万达体验中心,,体验中心,028-86736707
浙江省丽水市莲都区岩泉街道花园路16号万地广场【1】层【007A】号商铺,丽水市,331100,28.4622,119.925003,浙江,330000,RS3301100,小鹏汽车丽水万地广场体验中心,,体验中心,05782616880
北京市朝阳区西大望路甲22号院1号楼合生汇购物中心5层,北京市,110100,39.894001,116.478996,北京,110000,C911AOS02,小鹏汽车北京合生汇体验中心,,体验中心,01067722426
河南省开封市金明大道与魏都路交叉口向北200米博奥新能源汽车广场,开封市,410200,34.802892,114.314594,河南,410000,RS4101100,小鹏汽车开封博奥汽车城体验中心,,体验中心,0371-23313000
成都市郫都区创智北环路与创智东一路交口东140米一层龙湖蜀新天街1F-38,成都市,510100,30.79068,103.901495,四川,510000,RS5102021,小鹏汽车成都龙湖蜀新天街体验中心,,体验中心,028-60801690
厦门市思明区金山路7号宝龙一城二期2-3号楼第L1层M1-L1-008-2,厦门市,350200,24.486789,118.173725,福建,350000,C935DAS01,小鹏汽车厦门宝龙一城体验中心,,体验中心,05925535053
河北省衡水市桃城区育才南大街1033号爱琴海购物公园L1-03,衡水市,131100,37.717131,115.667904,河北,130000,RS1300700,小鹏汽车衡水爱琴海体验中心,,体验中心,0318-699 9992
深圳市福田区滨河大道9289号KK ONE 一楼 L162/163 小鹏汽车,深圳市,440300,22.528,114.027,广东,440000,S4454,小鹏汽车深圳KKONE体验中心,,体验中心,075582777072
江苏省常州市天宁区天宁吾悦广场1楼1042号,常州市,320400,31.7647,120.010002,江苏,320000,C932DAS01,小鹏汽车常州天宁吾悦广场体验中心,,体验中心,051988117188
河南省新乡市红旗区金穗大道宝龙广场一层014-015号,新乡市,410700,35.295127,113.921535,河南,410000,C941GAS01,小鹏汽车新乡宝龙广场体验中心,,体验中心,0373-3722288
上海市沪闵路7388号上海友谊南方商城1层1-003室,上海市,310100,31.1315,121.401001,上海,310000,C931AAS01,小鹏汽车上海百联南方体验中心,,体验中心,18301977489
广州市增城区新塘镇顺欣社区新福路9号万达广场1L-1060号,广州市,440100,23.152901,113.617996,广东,440000,S4459,小鹏汽车广州新塘万达广场体验中心,,体验中心,02083322914
双庆路8号万象城二期L1层C-141号,成都市,510100,30.6497,104.115997,四川,510000,S5108,小鹏汽车成都万象城体验中心,,体验中心,028-60801161
上海市浦东新区张杨路2389弄1-2号置汇旭辉广场S5-1F-33B号商铺,上海市,310100,31.241699,121.556,上海,310000,RS3102000,小鹏汽车上海LCM置汇旭辉广场体验中心,,体验中心,02150339720
