id,name,site,pointLat,pointLng,price,house_type
2.42003E+15,博丰大厦,罗湖区清水河,22.583565,114.116353,暂无数据,小区
2.42005E+15,贝悦汇大厦,罗湖区翠竹,22.578588,114.134708,暂无数据,小区
2.42004E+15,云南驻深办事处宿舍,罗湖区春风路,22.544867,114.130628,47628元/平,小区
2.4E+13,环卫小区,罗湖区百仕达,22.57184097,114.1371683,52596元/平,小区
2.42003E+15,招商中环·禧寓,罗湖区笋岗,22.569075,114.112503,66972元/平,小区
2.42004E+15,向西华侨新村,罗湖区黄贝岭,22.548546,114.144884,52259元/平,小区
2.4111E+12,万科深南广场,罗湖区春风路,22.550757,114.135434,46709元/平,小区
2.4141E+15,传麒东湖名苑,罗湖区百仕达,22.577426,114.149183,76780元/平,小区
2.41105E+12,鹏兴花园六期,罗湖区莲塘,22.56671462,114.1746829,59500元/平,小区
2.42003E+15,电视台家属大院,罗湖区黄贝岭,22.564367,114.146423,46023元/平,小区
2.42002E+15,粤华小区,罗湖区万象城,22.547482,114.120198,63727元/平,小区
2.42002E+15,湖滨小区滨学楼,罗湖区黄贝岭,22.565145,114.14515,53000元/平,小区
2.4111E+12,佳米基尚领公苑,罗湖区黄贝岭,22.547937,114.140791,63004元/平,小区
2.42002E+15,棕榈滩花园,罗湖区银湖,22.580589,114.090857,57800元/平,小区
2.41105E+12,田贝花园,罗湖区洪湖,22.5699468,114.1284912,63802元/平,小区
2.41106E+12,德弘天下华府,罗湖区翠竹,22.568346,114.130386,99627元/平,小区
2.46947E+14,帝景台,罗湖区新秀,22.552157,114.160626,70941元/平,小区
2.41105E+12,银通综合楼,罗湖区莲塘,22.567464,114.184287,43641元/平,小区
2.41105E+12,东门北路2075号,罗湖区百仕达,22.56532584,114.1396729,57231元/平,小区
2.41105E+12,田贝新村,罗湖区洪湖,22.56842434,114.1273864,54758元/平,小区
2.41105E+12,文锦中路2007号,罗湖区螺岭,22.55691712,114.1359509,109985元/平,小区
2.41064E+15,农牧小区,罗湖区布心,22.589197,114.139962,51904元/平,小区
2.41446E+15,新安大厦,罗湖区春风路,22.548401,114.124849,暂无数据,小区
2.41503E+15,华通大厦,罗湖区地王,22.561548,114.116519,暂无数据,小区
2.41415E+15,禧悦公寓,罗湖区笋岗,22.569704,114.116676,暂无数据,小区
2.42004E+15,晒布路11巷,罗湖区东门,22.55536832,114.1278339,暂无数据,小区
2.4E+13,城东街住宅楼,罗湖区东门,22.55449742,114.1292386,暂无数据,小区
2.4E+13,螺岭外国语学校教职工住宅楼,罗湖区螺岭,22.55827232,114.1336942,暂无数据,小区
2.4E+13,华垦宿舍,罗湖区笋岗,22.57516729,114.1195954,51600元/平,小区
2.42005E+15,新世界大厦,罗湖区螺岭,22.55607,114.130084,暂无数据,小区
2.41105E+12,百仕达花园一期,罗湖区百仕达,22.5769785,114.1410729,62600元/平,小区
2.41105E+12,新港鸿花园,罗湖区百仕达,22.57871007,114.137861,53700元/平,小区
2.41105E+12,碧波花园北区,罗湖区黄贝岭,22.56707952,114.1492083,49065元/平,小区
2.41105E+12,乐扬枫景,罗湖区黄贝岭,22.56458167,114.1480162,67900元/平,小区
2.41105E+12,高标住宅小区,罗湖区百仕达,22.56785492,114.1374937,66921元/平,小区
2.41105E+12,天景花园,罗湖区黄贝岭,22.56634164,114.1483255,48000元/平,小区
2.41105E+12,龙丽园,罗湖区翠竹,22.56650083,114.133612,73300元/平,小区
2.41105E+12,鸿园居,罗湖区百仕达,22.580338,114.140499,52700元/平,小区
2.41105E+12,和平大厦,罗湖区万象城,22.54688248,114.1214364,50081元/平,小区
2.41105E+12,深宝住宅区,罗湖区翠竹,22.56980841,114.1325678,74700元/平,小区
2.41105E+12,鸿基花园,罗湖区布心,22.58892793,114.1279393,40965元/平,小区
2.41105E+12,兴华小区,罗湖区笋岗,22.5761097,114.12118,52551元/平,小区
2.41105E+12,外贸大院,罗湖区黄贝岭,22.56646138,114.1467726,50000元/平,小区
2.41105E+12,太白居,罗湖区布心,22.58630807,114.1450471,50400元/平,小区
2.41105E+12,田贝四路83号,罗湖区翠竹,22.57119554,114.1317743,72005元/平,小区
2.41105E+12,大信大厦,罗湖区地王,22.55540134,114.1171468,31100元/平,小区
2.41105E+12,美思苑大厦,罗湖区百仕达,22.57265468,114.1389092,49500元/平,小区
2.41105E+12,丹枫白露城东1号,罗湖区黄贝岭,22.55126742,114.1459632,40900元/平,小区
2.41105E+12,湖景大厦,罗湖区翠竹,22.57163145,114.13011,53700元/平,小区
2.41105E+12,合正锦园南区,罗湖区莲塘,22.56881653,114.1852049,63000元/平,小区
2.41105E+12,天井湖小区,罗湖区黄贝岭,22.56603259,114.1468478,50748元/平,小区
2.41105E+12,柏丽花园,罗湖区翠竹,22.56900787,114.1332297,70400元/平,小区
2.41105E+12,百仕达乐湖,罗湖区百仕达,22.57430718,114.1467268,68500元/平,小区
2.41105E+12,汇鑫花园,罗湖区黄贝岭,22.54948205,114.1424072,56100元/平,小区
2.41105E+12,绿景山庄,罗湖区布心,22.591762,114.129272,44100元/平,小区
2.41105E+12,紫荆花园,罗湖区布心,22.59291,114.12384,39600元/平,小区
2.41105E+12,广岭家园,罗湖区莲塘,22.56129,114.161651,61400元/平,小区
2.41105E+12,金迪名苑,罗湖区布心,22.5819279,114.1426621,81000元/平,小区
2.41105E+12,城市东座,罗湖区莲塘,22.565011,114.176491,55300元/平,小区
2.41105E+12,聚宝华府,罗湖区莲塘,22.5688108,114.1754945,73200元/平,小区
2.41164E+15,银山楼,罗湖区笋岗,22.574958,114.118914,45600元/平,小区
2.41268E+15,瑞鹏大厦,罗湖区春风路,22.545444,114.132786,暂无数据,小区
2.41204E+15,四季青花园,罗湖区银湖,22.574,114.098342,暂无数据,小区
2.41105E+12,滨河中学宿舍,罗湖区万象城,22.54359996,114.115243,暂无数据,小区
2.41105E+12,渔民村路48,罗湖区罗湖口岸,22.53961689,114.1175528,39200元/平,小区
